Ananassitükid 3005g/1600g;Ananassi kompott;3005
Hiirte sulatatud juust maitsaroh.-ga 200g;Sulatatud juust (keskmise rasvasusega);200
"Br.kintsuliha n-ta,k-ta  500g/pk 9kg -18c PL;Broilerifilee;1000
METSPOHLAmoos KÜLLUS;Moos (keskmiselt);180
MUSTIKAmoos suhkruta;Moos (keskmiselt);180
POHLAsalat;Moos (keskmiselt);1000
EESTI PAGAR Kodukandi rukkileib 800g(viil);Leib (keskmiselt);1000
HALJAS 5-viljahelbed 500g;Viieviljahelbed;500
KALEV Šokolaadimedal Rõõmsaid Jõule 15g;Kommid;15
SAAREMAA k/s Peekon kg(tükk,vaakum);Suitsusink (sealihast);1000
VEGONTABLE Paprika viilud 4,25kg;Paprika;4250
Vesi-19;!!!ÄRA SISESTA ANCsse!!!;1000
PUDEL-19;!!!ÄRA SISESTA ANCsse!!!;1000
Piparkoogi taigen 850g;Piparkook;850
Stl.1698 16.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
Stl.1739 21.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
KURK  kiles,Hispaania;Kurk;1000
Stl.1761 23.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
TOMAT kobar, Holland  1.kl;Tomat;1000
PORRULAUK ,Poola;Porrusibul;1000
Stl.1799 28.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
Stl.1811 29.11.17;!!!ÄRA SISESTA ANCsse!!!;1000
BANAAN,Costa Rica;Banaan;1000
VESKI MATI Manna 1kg;Manna;1000
RAKVERE Kodune hakkliha 1kg(külmut.);Hakkliha (sea-veise);1000
VR.Anshoovis õlis kilufileest 1kg;Vürtsikilu;1000
MARWEL Tallinna anšoovis kilufileest 1kg;Vürtsikilu;1000
ESTOVER Eesti juust 25,2% 1kg(viilud);Juust (keskmise rasvasusega);1000
ESTOVER Hiirte juust 25,2% 500g(viilud);Juust (keskmise rasvasusega);500
DAN SUKKER TUHKSUHKUR 500g;Suhkur;500
ARDO Supiköögivili 2,5kg;Juurviljasegu (külmutatud, keskmiselt);2500
ELDORADO Kakaopulber 125g;Kakaopulber;125
TARTU MILL Kamajahu 400g;Kamajahu;400
KATI Hirss 1kg;Hirsitangud;1000
Emma vanilje kohupiimakreem 4% 5kg;Emma kohupiimakreem;5000
4-viljahelbed 500gx12 VeskiMati;Neljaviljahelbed;500
Toidusool jäme 1kg;Sool;1000
"Põltsamaa apelsinimahl 1,0";Apelsinimahl;1000
OHO hommikusöök riis sokol. 500g;Teraviljahelbed;500
RÖST Mitmevilja 470g 7 Leibur;Mitmeviljaröst;470
FAZER Must seemneleib 560g;Teraleib;560
ARDO Ratatouille segu 2,5kg;Juurviljasegu (külmutatud, keskmiselt);2500
ARDO Suvikõrvits tükeldatud 2,5kg;Juurviljasegu (külmutatud, keskmiselt);2500
TARTU MILL Chiffari Lisci 100% durum 500g(minisarveke);Makaronid;500
ALMA Hapukoor 20% 1kg(kile);Hapukoor 20%;1000
GERMUND Kookoshelbed 3kg;Kookoshelbed;3000
ISUKAS Lastevorsti kuubikud kg(0,5*0,5cm);Vorst keedu (keskmiselt);1000
PODRAVKA Vegeta 75g;Maitseained (keskmiselt);75
FELIX Põltsamaa kange sinep 65g;Sinep;65
ARDO Mehhiko segu 2,5kg;Juurviljasegu (külmutatud, keskmiselt);2500
KALEV Piparkoogid 240g;Piparkook;240
"Alma vaar.-kirsi joogijogurt 1,0 kilep.";Joogijogurt 2,5%;1000
Sea kaelakarb. JAHUTUS;Sealiha (keskmiselt);1000
PJ Porrulauk kg;Porrusibul;1000
TARTU MILL Tatar 3kg;Tatratangud;3000
MAKS&MOORITS Väike viiner 260g;Viiner;260
MAKS&MOORITS Kuubistatud pitsasink kg;Sink (sea, keedu);1000
LEIBUR Tallinna peenleib 1kg(viil);Leib (keskmiselt);1000
VIRSIKUmoos;Moos (keskmiselt);3200
PIRNI-SIDRUNImoos *;Moos (keskmiselt);3200
Kl.Suur Kirde sai viil 500g(6);Sai (keskmiselt);1000
Lõheliha n.-ta 12kg. Norra/real: 30.06.2018 ... -18*C;Lõhe/forell;1000
KALEV Jõuluseiklus jänkuga kommipakk 450g;Kommid;450
Kanafilee nagitsad 6kg/kast -18c FR;Kananagitsad;6000
"Kana nagitsad külm. ca 1,6 Tallegg";Kananagitsad;1000
Alma koh.kreem kirsi-maasika 150g;Kohupiimatops(keskmiselt);1000
Kartulitärklis 400g (sinine paberpakk);Kartulitärklis;400
Ribiliha külm. Nõo;Searibi;1000
Majonees PROVANSAAL 4.5kg;Majonees 40,5%;4500
SM Hakkliha maitseaine 850g;Maitseained (keskmiselt);850
Tõmmu p/s vorst 350g Atria;Poolsuitsuvorst;350
Nõo verivorst ca1 kg (seasooles);Verivorst;1000
Hakklihamaitseaine 1kg;Maitseained (keskmiselt);1000
P/s Saare;Poolsuitsuvorst;1000
"Br.kintsuliha  n-ta 1,0x10  PL külm";Broilerifilee;1000
Verivorst ca1.3kg  SLT;Verivorst;1000
"Krõbe Marja müsli 2,0 Veski Mati";Müsli;2000
Risotoriis 7kg VM;Riis;7000
"Hernes-porgand-mais 4x 2,5kg  GG;Juurviljasegu (külmutatud, keskmiselt);2500
Täistera riivleib 350gx15;Riivleib;350
"EMMA virsiku kreem 4% 0,15 TPT";Kohupiimatops(keskmiselt);1000
Rosin 500g;Rosinad;500
TARPLAN Majonees Lahe Laua 35% 4,5kg;Majonees 40,5%;4500
"Maasuitsusink ca2,5kg;Suitsusink (sealihast);1000
Pasta durum Alfabeto 500g TM (Tähestiku);Makaronid;500
Saaremaa Talusink ca1,2kg;Suitsusink (sealihast);1000
"Hommikupeekon 1,6kg viil Nõo";Suitsusink (sealihast);1000
Hollandi leibjuust viil 500g Valio;Juust (keskmise rasvasusega);500
Juust Sõbra viil 500g(8tk);Juust (keskmise rasvasusega);500
Stl.1826 01.12.17;!!!ÄRA SISESTA ANCsse!!!;1000
MANDARIIN Klementiin ,Hispaania 1.kl;Mandariin;1000
Stl.1880 07.12.17;!!!ÄRA SISESTA ANCsse!!!;1000
Lõhetükid n.-ta, kondita 7,5kg. Norra/real:31.08.2018 ... -18*C;Lõhe/forell;1000
ALMA Piim 3,5% 1l (kile);Piim 3,5 %;1000
ALMA Hapukoor 20% 500g(kile);Hapukoor 20%;500
EESTI PAGAR Rehe rukkivormileib 600g (viilutatud);Leib (keskmiselt);1000
PJ Õun Paulared kg;Õun;1000
FROZANA Maasikad 2,5kg;Marjad (külmutatud);2500
FROZANA Vaarikad 2,5kg;Marjad (külmutatud);2500
FROZANA Mustsõstrad 2,5kg;Marjad (külmutatud);2500
VICI Krabimaitselised nuudlid 200g(jahutatud);Makra;200
LINNU TALU Kanamunad 30tk. L(rest);Muna;30000
ESTOVER Riivjuust 25,2% 1kg;Juust (keskmise rasvasusega);1000
MAKS&MOORITS Kuubistatud pitsasink kg(karp);Sink (sea, keedu);1000
Sea kaelakarbonaad kg(külmut.);Sealiha (keskmiselt);1000
NORDIC Neljaviljahelbed 1,5kg;Neljaviljahelbed;1500
DAN SUKKER Suhkur 1kg;Suhkur;1000
PJ Kurk Eesti kiles kg;Kurk;1000
RAKVERE Laste keeduvorst kg(kang);Vorst keedu (keskmiselt);1000
FAZER Must vormileib 600g;Leib (keskmiselt);1000
Kooritud kartul;Kartul;1000
Kooritud porgand;Porgand;1000
Keedetud kooritud peet;Punane peet;1000
Riivitud kapsas;Valge peakapsas;1000
Stl.1243 20.09.17;!!!ÄRA SISESTA ANCsse!!!;1000
PIRN *Conference*55+ 2.kl.Holland;Pirn;1000
ÕUN *Paulared* 70+,2.kl,Poola;Õun;1000
KURK , Leedu;Kurk;1000
AEDTILL Eesti;Till;1000
MUGULSIBUL  ,Poola;Sibul;1000
Stl.1273 25.09.17;!!!ÄRA SISESTA ANCsse!!!;1000
HAPUKAPSAS  Eesti;Hapukapsas;1000
Seaaba kuubikud 2*2 Saaremaa;Sealiha (keskmiselt);1000
Stl.878 18.07.17;!!!ÄRA SISESTA ANCsse!!!;1000
MUGULSIBUL  ,Holland;Sibul;1000
VILMA Kakaopulber väh.rasvasis.150g 16pk;Kakaopulber;150
Neljavilja puder 500g Helen;Neljaviljahelbed;500
Kaerasepik viil 300g 8/4 Leibur;Sepik;1000
AMPSIKU pasteet 200g  Nõo;Maksapasteet;200
K/v Lastevorst  SLT;Vorst keedu (keskmiselt);1000
Kurk;Kurk;1000
Aedtill;Till;1000
Peakapsas;Valge peakapsas;1000
Hakkliha Kodune 1kg Raasiku -18c;Hakkliha (sea-veise);1000
Hirss 1kg Kati;Hirsitangud;1000
Leiburi Saib porgandiga 390g(7);SAIB;390
"Saaremaa piimaviiner 1,3kg map";Viiner;1000
"Vaarikas külm.1,0kg Poola";Marjad (külmutatud);1000
"Põltsamaa õuna mustsõstra nektar 1,0l";Mahlakonsentraat (keskmiselt);1000
Sibularõngad 1kg -18c  6tk Farm.frit.;Sibul;1000
Hollandi juust 900g viil Horeca;Juust (keskmise rasvasusega);900
"DR.Hellus Haps Vaarika 1,0";Haps;1000
Kanapuljong 1 kg;Maitseained (keskmiselt);1000
Köögiviljapuljong 1kg;Maitseained (keskmiselt);1000
"Neljaviljahelbed 3,0 VM";Neljaviljahelbed;3000
Riisihelbed karbis 500gx8 VM;Riisihelbed;500
Doktorivorst 600g RLK;Vorst keedu (keskmiselt);600
Riis aurutatud (sõmer) 3kg Tartu Mill;Riis;3000
Ananassitükid 3050/1840g Morl.;Ananassi kompott;3050
"Odrahelbed 3,0 VM";Odrahelbed;3000
Virsikunektar 1l Põltsamaa;Aprikoosimehu;1000
Kanamunad M10  Leedu;Muna;10000
Räimed tom.kastmes 240g konserv;Kalakonserv (sardiinid tomatikastmes);240
Seakaelakarbonaad  külm. LV;Sealiha (keskmiselt);1000
